Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Vietnam,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.082,,,,,,
Global,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.088,,,,,,
Czech Republic,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.086,,,,,,
France,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.010,,,,,,
Netherlands,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.057,,,,,,
Poland,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.125,,,,,,
Spain,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.026,,,,,,
Taiwan,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.100,,,,,,
United States ,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.063,,,,,,
India,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.187,,,,,,
United Kingdom,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.036,,,,,,
Rest-of-World,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.134,,,,,,
,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,
China,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.109,,,,,,
Vietnam,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.082,,,,,,
Global,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.088,,,,,,
Czech Republic,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.086,,,,,,
France,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.010,,,,,,
Netherlands,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.057,,,,,,
Poland,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.125,,,,,,
Spain,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.026,,,,,,
Taiwan,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.100,,,,,,
United States ,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.063,,,,,,
India,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.187,,,,,,
United Kingdom,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.036,,,,,,
Rest-of-World,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.134,,,,,,
,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,
China,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.109,,,,,,
Vietnam,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.082,,,,,,
Global,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.088,,,,,,
Czech Republic,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.086,,,,,,
France,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.010,,,,,,
Netherlands,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.057,,,,,,
Poland,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.125,,,,,,
Spain,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.026,,,,,,
Taiwan,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.100,,,,,,
United States ,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.063,,,,,,
India,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.187,,,,,,
United Kingdom,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.036,,,,,,
Rest-of-World,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.134,,,,,,
,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,
China,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.109,,,,,,
Vietnam,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.082,,,,,,
Global,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.088,,,,,,
Czech Republic,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.086,,,,,,
France,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.010,,,,,,
Netherlands,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.057,,,,,,
Poland,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.125,,,,,,
Spain,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.026,,,,,,
Taiwan,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.100,,,,,,
United States ,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.063,,,,,,
India,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.187,,,,,,
United Kingdom,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.036,,,,,,
Rest-of-World,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.134,,,,,,
,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,
China,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.109,,,,,,
Vietnam,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.082,,,,,,
Global,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.088,,,,,,
Czech Republic,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.086,,,,,,
France,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.010,,,,,,
Netherlands,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.057,,,,,,
Poland,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.125,,,,,,
Spain,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.026,,,,,,
Taiwan,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.100,,,,,,
United States ,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.063,,,,,,
India,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.187,,,,,,
United Kingdom,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.036,,,,,,
Rest-of-World,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.134,,,,,,
,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,
China,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.109,,,,,,
Vietnam,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.082,,,,,,
Global,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.088,,,,,,
Czech Republic,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.086,,,,,,
France,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.010,,,,,,
Netherlands,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.057,,,,,,
Poland,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.125,,,,,,
Spain,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.026,,,,,,
Taiwan,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.100,,,,,,
United States ,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.063,,,,,,
India,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.187,,,,,,
United Kingdom,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.036,,,,,,
Rest-of-World,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,0.134,,,,,,
,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Polyurethane Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Memory Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Latex Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,High-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
Spain,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Taiwan,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
United States ,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
India,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.005,,,,,,
United Kingdom,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.001,,,,,,
Rest-of-World,Foam,Low-Density Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),Whole life cycle of Foamboard 3000 (S-SL) – 5 cm,1.45,The source provided kWh/kg of whole life cycle of Foamboard 3000 (S-SL) – 5 cm,EPD Foamboard 3000 (S-SL) – 5 cm (Foam) 2024/08/12 - 2029/08/11.pdf,Keep out of backend updates,(0.0199*0.277777778)/1.45,0.003786149166,MJ to kWh conversion is done,"EPD (The International EPD)
",,
China,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Vietnam,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Global,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
Czech Republic,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.003,,,,,,
France,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.000,,,,,,
Netherlands,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.002,,,,,,
Poland,Foam,Gel-Infused Foam,Whole process,EPD,Whole process of cotton textile processing (kWh/kg),,,,,0.004,,,,,,
